Title,English_Title,Score,Genres,Type,Episodes,Status,Start_Date,End_Date,Premiered,Broadcast,Producers,Licensors,Studios,Source,Duration_Minutes,Rating,Popularity,Members,Favorites,Ranked
Fullmetal Alchemist: Brotherhood,,9.16,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",TV,64,Finished Airing,4/5/2009,7/4/2010,Spring 2009,Sundays at 17:00 (JST),"Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken","Funimation, Aniplex of America",Bones,Manga,24,R - 17+ (violence & profanity),3,2565409,182220,1
Gintama: The Final,,9.1,"Action, Sci-Fi, Comedy, Historical, Parody, Drama, Samurai, Shounen",Movie,1,Finished Airing,1/8/2021,,,,"TV Tokyo, Warner Bros. Japan",Eleven Arts,Bandai Namco Pictures,Manga,104,PG-13 - Teens 13 or older,2255,58201,1619,2
Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2,9.1,"Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power",TV,10,Finished Airing,4/29/2019,7/1/2019,Spring 2019,Mondays at 00:10 (JST),"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Funimation,Wit Studio,Manga,23,R - 17+ (violence & profanity),36,1474599,42129,3
Steins;Gate,,9.1,"Sci-Fi, Psychological, Drama, Thriller",TV,24,Finished Airing,4/6/2011,9/14/2011,Spring 2011,Wednesdays at 02:05 (JST),"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",Funimation,White Fox,Visual novel,24,PG-13 - Teens 13 or older,11,2011149,154736,4
Fruits Basket: The Final,,9.09,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,13,Finished Airing,4/6/2021,6/29/2021,Spring 2021,Tuesdays at 01:30 (JST),"TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music",Funimation,TMS Entertainment,Manga,23,PG-13 - Teens 13 or older,722,233888,10260,5
Gintama°,Gintama Season 4,9.09,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,Finished Airing,4/8/2015,3/30/2016,Spring 2015,Wednesdays at 18:00 (JST),"TV Tokyo, Aniplex, Dentsu","Funimation, Crunchyroll",Bandai Namco Pictures,Manga,24,PG-13 - Teens 13 or older,339,460506,11960,6
Hunter x Hunter (2011),Hunter x Hunter,9.07,"Action, Adventure, Fantasy, Shounen, Super Power",TV,148,Finished Airing,10/2/2011,9/24/2014,Fall 2011,Sundays at 10:55 (JST),"VAP, Nippon Television Network, Shueisha",VIZ Media,Madhouse,Manga,23,PG-13 - Teens 13 or older,10,2032236,156894,7
Ginga Eiyuu Densetsu,Legend of the Galactic Heroes,9.06,"Military, Sci-Fi, Space, Drama",OVA,110,Finished Airing,1/8/1988,3/17/1997,,,"TV Tokyo, Kitty Films, Tokuma Shoten, Tokuma Japan Communications",Sentai Filmworks,"K-Factory, Kitty Film Mitaka Studio",Novel,26,R - 17+ (violence & profanity),663,254479,13334,8
Gintama',Gintama Season 2,9.06,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",TV,51,Finished Airing,4/4/2011,3/26/2012,Spring 2011,Mondays at 18:00 (JST),"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha","None found, add some",Sunrise,Manga,24,PG-13 - Teens 13 or older,381,410421,6149,9
Gintama': Enchousen,Gintama: Enchousen,9.04,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,Finished Airing,10/4/2012,3/28/2013,Fall 2012,Thursdays at 18:00 (JST),"TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus","None found, add some",Sunrise,Manga,24,PG-13 - Teens 13 or older,677,249484,2462,10
